page_url,page_views,session_duration,bounce_rate,device_type,browser,operating_system,traffic_status
HomePageUrl,4336,619,0.68,3,1,4,1
HomePageUrl,2569,439,0.36,2,4,3,1
ContactorSupportUrl,7248,171,0.44,3,1,4,0
SubpageUrl,2620,727,0.38,1,3,3,1
HomePageUrl,4706,818,0.52,1,4,1,1
ProductUrl,4916,609,0.37,1,1,2,1
ProductUrl,983,148,0.71,1,4,3,1
SubpageUrl,5621,147,0.96,3,3,4,0
ErrorPageUrl,1863,618,0.4,1,2,2,1
HomePageUrl,7570,206,0.69,3,3,1,0
LoginUrl,4561,761,0.21,2,3,1,1
ContactorSupportUrl,4547,542,0.6,1,2,1,1
ProductUrl,4545,367,0.68,2,2,4,1
ContactorSupportUrl,7649,32,0.69,3,1,1,0
LoginUrl,8423,880,0.52,1,1,3,0
LoginUrl,6791,8,0.7,1,4,1,0
ErrorPageUrl,8213,342,0.2,3,4,4,0
HomePageUrl,1238,260,0.73,2,3,2,1
HomePageUrl,5054,923,0.6,3,2,4,0
ErrorPageUrl,3014,586,0.46,2,1,2,1
LoginUrl,3020,770,0.58,1,4,2,1
LoginUrl,6423,800,0.89,2,1,1,0
LoginUrl,8929,511,0.88,1,4,1,0
ErrorPageUrl,3661,938,0.59,2,4,2,1
HomePageUrl,201,934,0.7,2,2,4,1
ContactorSupportUrl,4429,22,0.47,3,3,2,1
LoginUrl,1345,682,0.49,1,1,2,1
HomePageUrl,4621,803,0.33,3,4,1,1
LoginUrl,3882,294,0.29,1,3,3,1
HomePageUrl,9577,84,0.8,1,4,2,0
ErrorPageUrl,8291,471,0.52,3,2,4,0
LoginUrl,1782,335,0.87,3,1,1,1
SubpageUrl,7332,227,0.41,2,3,4,0
ProductUrl,4967,769,0.46,2,1,4,0
HomePageUrl,8468,127,0.8,3,4,2,0
HomePageUrl,4005,463,0.5,2,2,3,1
SubpageUrl,8105,127,0.45,3,2,1,0
HomePageUrl,733,580,0.41,2,1,1,1
HomePageUrl,2865,800,0.96,2,4,4,1
ContactorSupportUrl,7545,997,0.96,2,1,1,0
ContactorSupportUrl,9062,578,0.74,1,3,4,0
ErrorPageUrl,6802,996,0.92,1,2,2,0
SubpageUrl,9899,401,0.38,2,4,3,0
LoginUrl,7821,116,0.18,2,2,4,0
LoginUrl,7373,487,0.77,2,2,1,0
HomePageUrl,5505,933,0.61,2,3,4,0
LoginUrl,4660,796,0.18,1,2,3,1
HomePageUrl,1645,454,0.78,3,2,2,1
ProductUrl,7449,263,0.62,1,3,3,0
ErrorPageUrl,2213,978,0.15,3,4,2,1
HomePageUrl,3715,416,0.72,3,2,4,1
SubpageUrl,5375,164,0.8,1,3,2,0
ErrorPageUrl,5341,302,0.59,1,2,2,0
ProductUrl,2844,754,0.45,3,3,2,1
HomePageUrl,8634,570,0.15,3,1,4,0
ContactorSupportUrl,2641,903,0.43,2,1,4,1
ErrorPageUrl,6472,92,0.54,2,2,3,0
HomePageUrl,3607,197,0.16,1,4,3,1
ErrorPageUrl,8504,301,0.73,3,2,1,0
SubpageUrl,4402,766,0.44,1,3,4,1
SubpageUrl,8896,538,0.84,2,3,4,0
ErrorPageUrl,7194,484,0.45,1,4,1,0
SubpageUrl,6012,73,0.64,1,3,3,0
ContactorSupportUrl,3475,959,0.58,2,2,4,1
HomePageUrl,9648,904,0.7,2,3,2,0
HomePageUrl,99,950,0.98,2,2,4,1
HomePageUrl,6268,138,0.16,1,4,1,0
HomePageUrl,4832,783,0.48,3,3,2,1
LoginUrl,7320,503,0.46,2,3,2,0
ErrorPageUrl,7089,308,0.74,3,1,3,0
ErrorPageUrl,1634,991,0.18,1,1,2,1
LoginUrl,5911,297,0.68,3,2,3,0
ErrorPageUrl,7171,162,0.85,3,3,1,0
SubpageUrl,5443,171,0.68,1,1,4,0
ErrorPageUrl,1454,878,0.74,3,1,2,1
LoginUrl,1670,531,0.54,2,1,3,1
ErrorPageUrl,5197,362,0.38,3,1,2,0
ProductUrl,4121,950,0.74,3,3,3,1
SubpageUrl,2427,296,0.21,3,2,3,1
HomePageUrl,1403,348,0.41,2,3,4,1
SubpageUrl,3327,863,0.73,1,2,4,1
SubpageUrl,4980,300,0.19,3,1,4,1
HomePageUrl,7835,312,0.28,1,2,1,0
LoginUrl,1118,155,0.31,3,4,2,1
ErrorPageUrl,9160,657,0.4,2,3,4,0
LoginUrl,7806,84,0.91,1,2,3,0
LoginUrl,6556,245,0.7,1,1,2,0
SubpageUrl,5686,522,0.37,2,2,4,0
SubpageUrl,6492,365,0.85,3,4,3,0
SubpageUrl,4710,655,0.21,2,4,2,1
ProductUrl,3342,682,0.63,2,1,1,1
ContactorSupportUrl,1852,318,0.17,2,1,3,1
ErrorPageUrl,9830,239,0.11,2,4,2,0
HomePageUrl,8342,577,0.96,1,3,3,0
LoginUrl,7796,221,0.15,3,1,1,0
ProductUrl,4375,58,0.28,1,2,4,1
LoginUrl,4072,128,0.56,2,1,4,1
ErrorPageUrl,6976,785,0.59,2,4,2,0
ProductUrl,8140,583,0.45,3,3,3,0
ErrorPageUrl,5021,634,0.95,2,1,1,0
ErrorPageUrl,4384,974,0.78,2,2,2,1
ProductUrl,3684,531,0.39,1,2,3,1
ErrorPageUrl,7951,842,0.34,2,4,1,0
HomePageUrl,739,693,0.99,2,3,1,1
LoginUrl,9499,779,0.73,1,2,2,0
ContactorSupportUrl,3381,728,0.48,1,4,3,1
ErrorPageUrl,3240,461,0.88,3,3,2,1
HomePageUrl,9581,781,0.31,3,1,2,0
ContactorSupportUrl,707,726,0.93,2,3,3,1
ProductUrl,5037,923,0.74,1,2,3,0
ErrorPageUrl,5888,482,0.2,3,1,4,0
HomePageUrl,6778,640,0.14,2,4,2,0
SubpageUrl,6200,367,0.26,1,3,3,0
ErrorPageUrl,5015,145,0.17,3,2,2,1
HomePageUrl,5397,511,0.38,2,1,2,0
ErrorPageUrl,7875,304,0.43,1,4,3,0
ProductUrl,5266,975,0.16,1,4,4,0
ProductUrl,441,567,0.33,3,2,1,1
ProductUrl,7935,723,0.57,2,3,2,0
LoginUrl,6321,785,0.42,2,2,1,0
LoginUrl,421,221,0.31,3,2,2,1
ContactorSupportUrl,1770,549,0.42,3,1,3,1
ContactorSupportUrl,8293,348,0.61,1,3,3,0
ProductUrl,2712,856,0.55,1,3,3,1
ProductUrl,2917,973,0.74,2,3,4,1
ContactorSupportUrl,8250,852,0.14,3,4,4,0
ProductUrl,6711,558,0.31,1,1,4,0
ContactorSupportUrl,5871,483,0.46,2,4,3,0
SubpageUrl,449,911,0.84,1,2,1,1
ProductUrl,5893,85,0.26,2,1,2,0
ProductUrl,792,483,0.28,1,3,4,1
ContactorSupportUrl,479,391,0.2,3,1,1,1
SubpageUrl,5126,297,0.97,3,1,3,1
LoginUrl,645,801,0.5,1,1,2,1
LoginUrl,3787,970,0.76,3,2,1,1
HomePageUrl,564,629,0.4,3,1,4,1
ProductUrl,1773,336,0.37,2,1,3,1
ErrorPageUrl,3098,953,0.82,3,1,2,1
HomePageUrl,8959,733,0.13,2,2,2,0
SubpageUrl,4786,677,0.94,2,3,1,1
ContactorSupportUrl,573,176,0.22,1,1,3,1
ErrorPageUrl,2331,316,0.86,1,3,3,1
HomePageUrl,6161,196,0.2,1,2,3,0
ErrorPageUrl,639,763,0.53,2,1,4,1
ContactorSupportUrl,8539,670,0.93,1,3,2,0
HomePageUrl,6434,99,0.31,1,1,4,0
HomePageUrl,5817,738,0.84,3,1,2,0
ContactorSupportUrl,1547,594,0.66,2,3,1,1
LoginUrl,1890,763,0.12,2,4,4,1
HomePageUrl,6413,864,0.24,3,1,1,0
ProductUrl,6827,620,0.83,2,1,3,0
SubpageUrl,2056,120,0.78,1,1,1,1
LoginUrl,994,218,0.45,2,4,4,1
SubpageUrl,6465,400,0.27,1,4,4,0
HomePageUrl,7482,353,0.11,2,1,3,0
LoginUrl,689,301,0.21,1,3,3,1
LoginUrl,5614,980,0.44,1,4,4,0
ErrorPageUrl,2862,136,0.84,2,4,2,1
ErrorPageUrl,3409,503,0.44,1,3,1,1
SubpageUrl,8960,602,0.21,1,4,1,0
ProductUrl,515,531,0.4,1,1,4,1
ErrorPageUrl,46,419,0.16,1,1,4,1
ErrorPageUrl,1446,531,0.54,2,1,4,1
ContactorSupportUrl,6691,970,0.11,3,1,2,0
ContactorSupportUrl,9778,636,0.34,3,3,3,0
ProductUrl,6909,661,0.11,1,1,4,0
ProductUrl,6328,417,0.16,3,4,1,0
ProductUrl,4318,924,0.83,3,1,2,1
SubpageUrl,7118,641,0.9,2,2,2,0
ContactorSupportUrl,1833,531,0.3,2,3,2,1
SubpageUrl,8004,799,0.46,3,2,3,0
HomePageUrl,1089,795,0.79,1,2,4,1
HomePageUrl,5090,739,0.61,3,3,3,0
LoginUrl,4331,781,0.42,2,3,1,1
ContactorSupportUrl,3580,340,0.88,1,4,2,1
HomePageUrl,8545,6,0.48,2,2,4,0
ErrorPageUrl,5678,879,0.92,3,4,3,0
ProductUrl,2647,668,0.19,1,3,3,1
ProductUrl,7412,388,0.59,2,1,2,0
ProductUrl,3689,883,0.19,1,1,3,1
SubpageUrl,5236,474,0.59,2,4,1,0
LoginUrl,6910,879,0.49,3,4,2,0
HomePageUrl,2171,93,0.53,1,2,3,1
ErrorPageUrl,3524,579,0.93,3,3,3,1
LoginUrl,5342,64,0.56,2,1,2,0
ProductUrl,1295,177,0.15,3,1,1,1
ContactorSupportUrl,4031,626,0.72,2,2,3,1
ProductUrl,9443,442,0.66,2,3,3,0
ProductUrl,8352,744,0.98,3,1,1,0
HomePageUrl,9778,76,0.54,3,3,2,0
HomePageUrl,2186,740,0.2,2,2,4,1
SubpageUrl,9914,29,0.22,2,4,4,0
HomePageUrl,7526,720,0.41,1,3,4,0
SubpageUrl,8312,313,0.47,3,2,1,0
ProductUrl,457,620,0.77,2,3,4,1
ProductUrl,2381,931,0.1,2,1,1,1
HomePageUrl,5871,232,0.27,3,2,1,0
SubpageUrl,1303,181,0.84,1,1,2,1
ProductUrl,5253,666,0.34,1,1,3,0
ErrorPageUrl,8399,498,0.48,1,1,3,0
SubpageUrl,9500,472,0.19,1,4,3,0
ErrorPageUrl,5041,953,0.65,1,2,3,0
ProductUrl,8657,693,0.14,1,4,4,0
HomePageUrl,3493,133,0.11,2,1,2,1
ContactorSupportUrl,4190,546,0.14,3,2,1,1
ProductUrl,4429,538,0.59,1,2,2,1
ErrorPageUrl,7368,623,0.76,1,1,4,0
HomePageUrl,4085,892,0.33,3,4,2,1
HomePageUrl,3000,748,0.46,1,2,2,1
ContactorSupportUrl,3012,268,0.44,3,1,2,1
HomePageUrl,4325,580,0.42,1,2,4,1
ContactorSupportUrl,4488,141,0.6,2,1,3,1
HomePageUrl,1199,436,0.49,1,3,2,1
LoginUrl,8540,428,0.98,2,2,3,0
LoginUrl,9708,518,0.28,2,4,2,0
LoginUrl,3891,7,0.82,1,4,1,1
SubpageUrl,6966,196,0.36,3,4,1,0
LoginUrl,6753,636,0.46,1,2,1,0
HomePageUrl,57,357,0.22,1,2,2,1
ErrorPageUrl,8587,431,0.35,3,1,2,0
HomePageUrl,8365,69,0.62,2,4,1,0
HomePageUrl,8435,587,0.68,2,4,1,0
HomePageUrl,2512,95,0.8,3,1,2,1
ContactorSupportUrl,1199,759,0.31,1,3,2,1
SubpageUrl,9977,839,0.44,3,4,3,0
HomePageUrl,3693,832,0.4,2,4,4,1
LoginUrl,5053,128,0.47,2,4,2,1
ContactorSupportUrl,6945,254,0.22,1,4,3,0
ContactorSupportUrl,9922,244,0.41,3,4,3,0
ErrorPageUrl,5961,701,0.98,2,3,2,0
ErrorPageUrl,1211,184,0.69,2,1,1,1
HomePageUrl,1625,787,0.46,3,1,4,1
SubpageUrl,261,307,0.53,2,3,3,1
SubpageUrl,4550,792,0.3,2,2,4,1
SubpageUrl,3014,713,0.16,3,2,2,1
ErrorPageUrl,1686,47,0.83,1,3,3,1
HomePageUrl,685,326,0.61,3,2,1,1
ErrorPageUrl,9774,99,0.76,1,4,1,0
HomePageUrl,2979,910,0.47,3,4,2,1
HomePageUrl,3089,150,0.21,2,4,2,1
ErrorPageUrl,4578,113,0.49,2,2,4,1
LoginUrl,8630,444,0.52,3,4,1,0
ContactorSupportUrl,5363,258,0.96,1,1,3,0
ContactorSupportUrl,3247,686,0.11,1,3,2,1
HomePageUrl,7930,428,0.86,2,1,2,0
HomePageUrl,6011,412,0.72,1,4,4,0
ProductUrl,604,218,0.83,3,4,3,1
ErrorPageUrl,6456,738,0.68,1,4,4,0
ErrorPageUrl,2542,186,0.52,3,2,3,1
LoginUrl,2505,599,0.32,3,3,3,1
LoginUrl,4548,970,0.26,2,1,1,1
ContactorSupportUrl,148,677,0.12,1,4,4,1
ContactorSupportUrl,2048,44,0.44,3,1,3,1
ProductUrl,8990,539,0.47,1,2,1,0
ErrorPageUrl,9025,266,0.41,1,3,3,0
HomePageUrl,9679,487,0.28,1,4,3,0
ContactorSupportUrl,6341,878,0.14,3,3,3,0
LoginUrl,4095,259,0.22,1,1,3,1
ContactorSupportUrl,3158,955,0.21,1,1,2,1
LoginUrl,1106,39,0.39,3,3,4,1
HomePageUrl,2176,50,0.59,2,4,3,1
HomePageUrl,5188,477,0.1,3,3,4,0
LoginUrl,2993,565,0.9,1,1,2,1
ErrorPageUrl,3198,602,0.13,2,4,4,1
LoginUrl,8518,230,0.64,1,1,1,0
ProductUrl,110,795,0.33,1,1,1,1
LoginUrl,3197,744,0.19,1,2,1,1
ErrorPageUrl,2512,60,0.61,2,1,3,1
ContactorSupportUrl,8399,948,0.89,1,3,2,0
SubpageUrl,4425,29,0.81,3,1,3,1
ErrorPageUrl,6099,597,0.83,2,2,2,0
ContactorSupportUrl,5314,250,0.63,1,1,2,0
SubpageUrl,1847,987,0.32,1,3,2,1
HomePageUrl,7719,778,0.27,2,3,4,0
ContactorSupportUrl,8165,871,0.76,3,2,3,0
HomePageUrl,7015,211,0.55,3,2,1,0
ProductUrl,4012,608,0.88,3,3,4,1
LoginUrl,2114,73,0.59,3,2,1,1
LoginUrl,7765,38,0.39,2,2,2,0
ContactorSupportUrl,8417,494,0.15,2,1,1,0
HomePageUrl,9654,961,0.48,1,2,3,0
SubpageUrl,4014,635,0.52,3,3,3,1
ErrorPageUrl,7013,119,0.58,2,4,3,0
ProductUrl,2049,838,0.28,3,1,2,1
ContactorSupportUrl,4703,663,0.48,3,4,1,1
LoginUrl,8122,910,0.51,3,1,4,0
ContactorSupportUrl,4134,296,0.72,2,1,2,1
SubpageUrl,9340,267,0.33,2,4,4,0
LoginUrl,713,152,0.78,3,3,3,1
SubpageUrl,9996,636,0.26,2,4,1,0
ProductUrl,3692,326,0.1,3,3,4,1
ProductUrl,2873,862,0.47,3,2,3,1
ErrorPageUrl,1136,114,0.19,2,1,3,1
ContactorSupportUrl,3303,312,0.26,1,3,3,1
ContactorSupportUrl,4461,200,0.27,3,1,1,1
ProductUrl,8828,864,0.17,2,3,1,0
HomePageUrl,3380,428,0.27,3,2,3,1
ProductUrl,1493,188,0.9,1,4,4,1
LoginUrl,641,162,0.31,1,3,4,1
SubpageUrl,205,700,0.99,2,1,1,1
ProductUrl,5476,262,0.58,1,4,2,0
ContactorSupportUrl,1405,32,0.98,2,4,1,1
ProductUrl,3558,655,0.41,1,1,2,1
ProductUrl,7995,219,0.56,2,2,2,0
ProductUrl,9833,969,0.88,3,3,2,0
ErrorPageUrl,5641,39,0.84,2,3,4,0
ErrorPageUrl,1008,575,0.51,1,1,1,1
HomePageUrl,1120,631,0.58,2,1,3,1
ContactorSupportUrl,2717,16,0.53,3,2,4,1
ErrorPageUrl,9273,776,0.46,2,2,4,0
ProductUrl,4913,950,0.42,2,3,3,0
ErrorPageUrl,5955,505,0.81,3,1,4,0
SubpageUrl,9359,299,0.52,3,2,3,0
SubpageUrl,2943,807,0.37,1,4,4,1
SubpageUrl,8975,559,0.81,1,1,1,0
HomePageUrl,6361,859,0.1,1,1,3,0
ProductUrl,6641,43,0.66,1,1,2,0
SubpageUrl,3839,403,0.81,2,1,3,1
ErrorPageUrl,1579,126,0.83,3,4,1,1
ContactorSupportUrl,2189,352,0.87,1,1,3,1
LoginUrl,1055,170,0.45,2,3,2,1
HomePageUrl,3251,919,0.51,2,3,1,1
ProductUrl,8558,755,0.59,1,2,1,0
HomePageUrl,5507,414,0.46,3,1,3,0
ContactorSupportUrl,1437,456,0.58,3,2,2,1
ContactorSupportUrl,5855,587,0.99,2,2,3,0
SubpageUrl,1607,452,0.69,1,3,4,1
HomePageUrl,6141,720,0.51,3,4,4,0
ContactorSupportUrl,6942,956,0.95,3,2,1,0
HomePageUrl,6241,480,0.58,3,1,3,0
ContactorSupportUrl,7131,849,0.26,3,1,2,0
LoginUrl,2819,422,0.14,2,3,4,1
ErrorPageUrl,3016,95,0.73,1,1,2,1
ErrorPageUrl,9699,230,0.79,2,1,4,0
HomePageUrl,8652,543,0.7,1,2,2,0
HomePageUrl,4048,426,0.46,1,1,4,1
HomePageUrl,8753,256,0.21,1,4,1,0
LoginUrl,3685,624,0.18,1,1,2,1
ContactorSupportUrl,4365,606,0.21,3,3,4,1
HomePageUrl,7069,186,0.83,3,1,2,0
ContactorSupportUrl,6379,400,0.21,3,2,4,0
ErrorPageUrl,4549,805,0.9,2,3,4,1
SubpageUrl,2172,154,0.61,1,2,2,1
LoginUrl,6724,645,0.94,3,2,2,0
LoginUrl,2350,53,0.12,2,2,4,1
ProductUrl,5658,479,0.48,2,4,2,0
HomePageUrl,4749,527,0.68,2,4,3,1
ContactorSupportUrl,7985,835,0.81,2,3,3,0
ErrorPageUrl,2740,928,0.56,1,3,1,1
HomePageUrl,4143,930,0.22,3,1,1,1
SubpageUrl,724,407,0.64,1,1,4,1
ContactorSupportUrl,601,108,0.98,3,3,3,1
SubpageUrl,1862,786,0.46,1,4,2,1
HomePageUrl,1266,431,0.46,2,1,4,1
ProductUrl,6744,931,0.31,1,1,4,0
ContactorSupportUrl,5007,481,0.77,3,1,2,1
SubpageUrl,96,112,0.2,2,2,2,1
HomePageUrl,9040,978,0.52,1,4,2,0
ErrorPageUrl,3247,731,0.43,1,2,4,1
ProductUrl,8706,464,0.95,1,1,4,0
ContactorSupportUrl,231,382,0.51,3,2,1,1
ContactorSupportUrl,6818,52,0.46,1,2,1,0
SubpageUrl,321,28,0.54,3,4,1,1
ErrorPageUrl,6426,695,0.68,3,2,4,0
LoginUrl,6451,577,0.6,1,1,4,0
ContactorSupportUrl,9437,501,0.5,2,3,1,0
ContactorSupportUrl,2985,62,0.67,3,4,3,1
SubpageUrl,1750,140,0.45,2,4,2,1
ErrorPageUrl,1306,950,0.4,2,4,2,1
SubpageUrl,8283,330,0.58,3,2,4,0
ContactorSupportUrl,7912,500,0.84,3,1,1,0
LoginUrl,1603,609,0.14,1,1,3,1
ProductUrl,8095,172,0.21,1,2,4,0
ErrorPageUrl,5964,998,0.8,2,2,4,0
ProductUrl,6285,374,0.27,1,3,3,0
HomePageUrl,4740,215,0.33,1,4,3,1
ContactorSupportUrl,9378,395,0.16,3,4,1,0
ErrorPageUrl,7721,87,0.94,1,2,1,0
SubpageUrl,9903,430,1.0,1,1,2,0
SubpageUrl,6482,530,0.75,2,3,3,0
HomePageUrl,5162,426,0.13,3,3,2,0
HomePageUrl,2289,526,0.39,3,3,4,1
ErrorPageUrl,2221,550,0.35,1,2,4,1
HomePageUrl,6788,731,0.59,3,1,2,0
ErrorPageUrl,5796,892,0.87,2,2,3,0
HomePageUrl,5971,983,0.15,2,3,3,0
ContactorSupportUrl,3197,262,0.12,1,4,1,1
HomePageUrl,2644,988,0.23,2,1,1,1
LoginUrl,5403,887,0.7,3,1,2,0
HomePageUrl,9855,173,0.56,1,1,3,0
HomePageUrl,7873,897,0.96,2,3,4,0
SubpageUrl,6713,281,0.5,1,3,2,0
LoginUrl,8796,647,0.42,1,4,4,0
LoginUrl,4641,684,0.61,3,4,4,1
ContactorSupportUrl,6396,863,0.41,3,2,1,0
SubpageUrl,2078,564,0.75,1,2,2,1
SubpageUrl,4308,328,0.61,1,3,2,1
ProductUrl,5965,302,0.8,1,1,2,0
ContactorSupportUrl,2993,730,0.66,1,4,4,1
HomePageUrl,4409,951,0.94,3,3,1,1
LoginUrl,3156,791,0.34,3,2,3,1
HomePageUrl,9708,653,0.4,2,3,4,0
ErrorPageUrl,8341,167,0.28,1,1,1,0
ProductUrl,1939,519,0.94,2,3,4,1
ContactorSupportUrl,8727,213,0.15,2,4,1,0
SubpageUrl,2236,101,0.38,1,2,3,1
SubpageUrl,2749,160,0.64,2,1,4,1
ContactorSupportUrl,9895,802,0.19,1,1,1,0
HomePageUrl,6072,543,0.9,3,2,1,0
SubpageUrl,3484,503,0.42,3,3,3,1
ProductUrl,8955,322,0.53,3,4,3,0
ContactorSupportUrl,3245,39,0.98,2,3,2,1
LoginUrl,1851,714,0.93,2,3,3,1
LoginUrl,6558,980,0.87,3,4,3,0
ProductUrl,80,560,0.23,3,2,2,1
ContactorSupportUrl,8695,690,0.6,2,4,4,0
ContactorSupportUrl,2752,767,0.75,3,1,4,1
LoginUrl,2055,132,0.37,3,4,2,1
SubpageUrl,6522,535,0.51,3,1,4,0
ContactorSupportUrl,3157,276,0.99,1,4,2,1
SubpageUrl,1623,651,0.23,3,4,2,1
LoginUrl,8383,528,0.12,3,4,4,0
ContactorSupportUrl,4878,693,0.13,3,2,1,1
ContactorSupportUrl,6705,490,0.14,2,1,3,0
ErrorPageUrl,6170,246,0.55,2,3,3,0
ContactorSupportUrl,6601,263,0.31,3,3,1,0
ContactorSupportUrl,205,317,0.31,2,2,3,1
ErrorPageUrl,7842,615,0.53,2,1,3,0
ContactorSupportUrl,669,98,0.31,1,2,1,1
LoginUrl,3887,148,0.21,3,2,1,1
ErrorPageUrl,3824,616,0.59,2,3,4,1
LoginUrl,8331,531,0.71,1,3,1,0
ProductUrl,4549,100,0.35,3,1,3,1
LoginUrl,6464,159,0.41,3,3,2,0
ProductUrl,2953,996,0.34,1,1,4,1
SubpageUrl,5623,490,0.74,2,3,4,0
SubpageUrl,5361,517,0.81,1,1,4,0
HomePageUrl,8535,948,0.65,2,2,3,0
ProductUrl,6383,981,0.86,1,4,3,0
LoginUrl,5425,833,0.67,2,1,3,0
ProductUrl,7595,12,0.48,1,4,3,0
SubpageUrl,1057,983,0.92,1,3,2,1
ContactorSupportUrl,8813,236,0.33,3,1,1,0
HomePageUrl,8634,14,0.87,3,2,2,0
SubpageUrl,3281,88,0.55,2,3,2,1
LoginUrl,7203,106,0.58,2,2,3,0
HomePageUrl,4602,627,0.92,1,1,2,1
LoginUrl,1111,916,0.41,3,3,4,1
ErrorPageUrl,7577,567,0.35,3,2,1,0
HomePageUrl,3275,463,0.83,2,4,3,1
ContactorSupportUrl,7285,323,0.31,3,4,1,0
LoginUrl,9801,108,0.2,3,1,2,0
HomePageUrl,2311,638,0.51,2,2,1,1
ProductUrl,7795,738,0.24,1,3,3,0
SubpageUrl,6792,207,0.21,2,2,4,0
ContactorSupportUrl,6800,230,0.79,2,2,3,0
SubpageUrl,3568,322,0.24,3,3,1,1
ContactorSupportUrl,6108,105,0.2,3,1,3,0
ErrorPageUrl,7173,993,0.62,2,4,4,0
HomePageUrl,2317,587,0.64,2,3,1,1
LoginUrl,6909,776,0.72,2,3,3,0
ContactorSupportUrl,9377,996,0.86,3,2,2,0
SubpageUrl,3707,31,0.36,2,4,2,1
ContactorSupportUrl,3260,473,0.26,2,1,2,1
ContactorSupportUrl,3786,324,0.89,2,1,2,1
SubpageUrl,8843,115,0.59,2,1,4,0
SubpageUrl,5551,616,0.31,3,2,4,0
ContactorSupportUrl,7462,317,0.13,2,3,4,0
LoginUrl,1450,935,0.61,3,1,4,1
ContactorSupportUrl,8047,805,0.4,3,3,3,0
SubpageUrl,262,940,0.96,2,1,3,1
HomePageUrl,1984,158,0.25,1,4,2,1
LoginUrl,5396,964,0.81,2,3,4,0
HomePageUrl,7599,380,0.72,1,2,2,0
HomePageUrl,2359,446,0.34,1,3,3,1
SubpageUrl,1467,320,0.99,2,3,3,1
LoginUrl,4483,100,0.51,1,1,1,1
LoginUrl,8451,821,0.9,1,1,4,0
ContactorSupportUrl,4185,647,0.94,1,3,3,1
SubpageUrl,3801,253,0.61,1,1,3,1
SubpageUrl,5261,857,0.2,1,3,3,0
LoginUrl,2706,786,0.73,2,2,1,1
ContactorSupportUrl,3890,685,0.75,1,4,4,1
SubpageUrl,9163,299,0.21,1,2,1,0
SubpageUrl,8147,897,0.42,2,4,1,0
ErrorPageUrl,3079,280,0.94,2,1,2,1
HomePageUrl,9985,425,0.88,2,1,1,0
ProductUrl,6939,329,0.16,1,1,1,0
HomePageUrl,2983,59,0.92,3,2,4,1
ContactorSupportUrl,6526,835,0.28,3,3,1,0
ProductUrl,5207,502,0.7,3,3,2,0
ContactorSupportUrl,739,992,0.97,1,1,2,1
SubpageUrl,7801,866,0.79,2,3,4,0
LoginUrl,6906,68,0.21,2,2,2,0
LoginUrl,9730,999,0.57,3,2,4,0
ProductUrl,4633,103,0.81,1,3,4,1
SubpageUrl,7251,746,0.89,3,3,1,0
ErrorPageUrl,9701,269,0.75,1,4,1,0
SubpageUrl,9234,352,0.71,3,3,3,0
ErrorPageUrl,9105,576,0.28,1,1,3,0
HomePageUrl,7715,971,0.99,1,4,4,0
SubpageUrl,1392,503,0.18,1,2,3,1
ContactorSupportUrl,9622,748,0.48,3,2,2,0
SubpageUrl,9605,781,0.13,3,1,1,0
ContactorSupportUrl,5318,695,0.28,3,4,3,0
LoginUrl,4944,732,0.84,1,2,3,0
SubpageUrl,8447,202,0.28,3,4,3,0
ProductUrl,2974,600,0.64,2,3,3,1
ErrorPageUrl,5409,138,0.78,2,4,2,0
SubpageUrl,2640,875,0.79,2,2,3,1
SubpageUrl,148,887,0.19,2,2,2,1
ProductUrl,5463,995,0.27,3,4,3,0
SubpageUrl,6767,797,0.75,3,1,1,0
SubpageUrl,9989,587,0.12,3,4,1,0
ProductUrl,3029,299,0.45,3,4,2,1
SubpageUrl,917,271,0.45,3,1,1,1
HomePageUrl,688,1,0.48,3,1,2,1
LoginUrl,1108,326,0.87,3,3,3,1
ProductUrl,3041,98,0.95,2,3,3,1
HomePageUrl,1876,5,0.62,1,2,3,1
HomePageUrl,9252,98,0.24,2,4,1,0
ProductUrl,428,742,0.14,2,1,3,1
ContactorSupportUrl,5642,584,0.58,3,1,2,0
ProductUrl,1452,40,0.92,3,2,3,1
ContactorSupportUrl,8713,876,0.7,1,3,3,0
HomePageUrl,835,136,0.9,1,4,3,1
LoginUrl,8929,855,0.31,1,3,1,0
LoginUrl,6689,717,0.91,2,4,1,0
HomePageUrl,6412,115,0.37,2,1,4,0
SubpageUrl,779,68,0.17,3,4,2,1
SubpageUrl,5847,645,0.41,1,4,4,0
HomePageUrl,7788,806,0.45,2,2,2,0
SubpageUrl,2427,186,0.39,3,1,4,1
LoginUrl,6128,197,0.49,1,4,4,0
HomePageUrl,2120,139,0.52,1,4,2,1
HomePageUrl,8268,991,0.93,3,1,3,0
ProductUrl,8106,559,0.68,2,2,3,0
SubpageUrl,536,651,0.36,2,2,2,1
SubpageUrl,6862,583,0.45,2,3,4,0
HomePageUrl,1772,797,0.24,3,2,1,1
ErrorPageUrl,7897,633,0.51,3,4,4,0
HomePageUrl,7672,785,0.64,2,2,1,0
ContactorSupportUrl,5859,504,0.23,1,2,3,0
ContactorSupportUrl,2365,875,0.63,1,1,4,1
ErrorPageUrl,917,422,0.58,3,4,1,1
ProductUrl,5764,461,0.47,1,2,2,0
ErrorPageUrl,636,153,0.45,1,1,4,1
SubpageUrl,6953,285,0.34,3,1,2,0
SubpageUrl,5677,1,0.78,2,1,1,0
